real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
b00c8ba4-8b50-4d81-a08e-fee649ef9423,3,33,11.000000,21
18812d7d-3e1e-4084-ad30-79ac968a2fa5,2,45,22.500000,27
c28aa37d-571e-4b43-bf01-aa14eeb765e7,9,74,8.222222,15
bf609a7c-229e-4dc7-82df-8162b6648e97,40,64,1.600000,14
78d36156-f985-41f2-b808-8ffa7a87f4b9,6,55,9.166667,22
5e3d6bde-1451-4103-89a6-c67d81f63ed6,5,70,14.000000,35
5f35250a-d81e-41b2-9564-ff94a61cfa88,1,2,2.000000,2
4f84b332-20fa-45e8-b9e0-e9fd0839492a,13,73,5.615385,14
08a984f9-9503-41c3-95a9-001f60ccc981,5,40,8.000000,22
49fcf025-22ca-4e4b-85b8-278b855e63b7,3,39,13.000000,22
2f843830-e489-45c6-a140-48ef168f7d3e,23,57,2.478261,13
3080614b-46eb-4c0d-b1ff-b9dc13bbc44b,3,6,2.000000,3
bdc5938a-77a5-4148-8281-898e87238451,3,57,19.000000,32
c1579949-3fb1-4a2a-8a10-4bcba6e0cab7,8,17,2.125000,10
30f64336-9100-4dbf-b67b-4a2096a38da9,11,62,5.636364,20
8537fdf9-7619-499b-b288-a3cfa1ee546f,3,32,10.666667,22
75f1c4e9-4841-4159-a021-44ff5c150d37,2,3,1.500000,2
907af844-581a-4044-8ddb-8bcc91df32f9,14,73,5.214286,11
94d77a1e-9dfa-42b7-a41e-eba20dbbf8f1,1,1,1.000000,1
374b89ae-6635-4710-aa3a-b1628e146d8a,4,21,5.250000,14
a714a287-37fd-4f34-ad8a-46580b566abe,3,36,12.000000,16
15d97e16-a8bd-47fc-90d0-a7b1505efd0b,6,35,5.833333,16
33ee54b5-0d80-4b24-b785-abcf45ee1e3f,4,50,12.500000,25
f258256f-54bc-46fc-baca-9df34d5ff3ac,7,69,9.857143,18
2dd5f116-f355-4d81-9790-cb050463be55,3,30,10.000000,20
6ba68ba3-3aee-4198-9e5e-f659b55375bd,7,32,4.571429,13
5f93621b-e9a9-451b-8d30-165dae1653c2,4,34,8.500000,22
7919b794-334e-42d4-ae6d-cc5e8fd3cbeb,3,17,5.666667,12
36027d15-9fa5-4ada-bf4b-ed5b5daa5587,8,54,6.750000,19
667dd617-b20d-4e76-bbd8-c70e206668c5,1,6,6.000000,6
b5ffd988-ffeb-4513-b78a-5806be0c7dbf,5,22,4.400000,8
f2d0957c-12af-426d-8d09-fdbbb4e0de0b,2,39,19.500000,21
