real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
bb4fc561-441d-4dc9-b9b0-9248820ad968,25,30,1.200000,2
a1e159d8-57d0-47b8-9d45-24df63d3595a,4,20,5.000000,17
c17f5405-360e-43d7-9b50-bccf6faf2207,44,53,1.204545,2
24aa014e-055c-4925-85de-d3541e3d0bef,2,3,1.500000,2
7a26546e-0a07-423c-9e97-0ef56212920d,17,22,1.294118,4
94560f9c-6b13-4732-ac39-78f6d48a8133,14,21,1.500000,3
a4b7e876-b24c-4888-85f9-62bcb8a9d776,17,22,1.294118,3
5f93621b-e9a9-451b-8d30-165dae1653c2,20,23,1.150000,3
9c862f56-7315-43ed-9922-be53b612c26b,37,40,1.081081,2
5771f07a-575e-4004-a3a5-db3ee44bb1b0,31,40,1.290323,3
8e7f3b7f-2631-4b94-a2ae-31e8f02f07cd,1,3,3.000000,3
6703acf0-f2c1-4b80-a158-fbbe091d3948,25,36,1.440000,3
f1f761d6-552f-4f35-be9e-b094d7b78160,43,48,1.116279,3
8758fefb-3ed1-4d64-b75d-b9e3d628eef3,13,18,1.384615,2
1f84d45e-8689-42bf-9ad5-0f9c8753fbde,31,36,1.161290,2
31fa27b8-6c4d-47b2-8566-b4af4d9ca9e8,41,52,1.268293,2
907af844-581a-4044-8ddb-8bcc91df32f9,37,49,1.324324,3
bc19c32d-a271-4dd7-b5e6-62d36d1a3128,45,53,1.177778,2
15c7af42-87ad-4bc8-92fa-52ae8f2040fa,17,20,1.176471,3
8d7e30ed-2eb2-48c9-ad99-3d0e8cf03e99,28,36,1.285714,3
1d39f953-a08e-494e-acf6-e594832b010a,46,53,1.152174,2
2847c646-a1c3-45b5-815f-46681e3db9c1,30,43,1.433333,6
2f38656b-76d5-4b46-a81d-c90b96495673,29,50,1.724138,13
1a2a7fa6-a936-4e87-a513-50ea19f0483e,30,33,1.100000,3
d8d2f244-6fe8-4084-86a0-7a0763b579ce,18,23,1.277778,4
1637a67a-3e43-4ba3-9c63-dd1b557dcc19,8,12,1.500000,3
7d7d8bee-c73e-4544-a78c-2d4e29f75749,9,14,1.555556,2
c28aa37d-571e-4b43-bf01-aa14eeb765e7,42,50,1.190476,2
4f84b332-20fa-45e8-b9e0-e9fd0839492a,39,49,1.256410,3
87e53473-180b-4180-830f-6999f612c755,17,20,1.176471,2
c1579949-3fb1-4a2a-8a10-4bcba6e0cab7,10,11,1.100000,2
5e1920ed-d676-4151-a8ff-1153e7b7561f,17,21,1.235294,2
dca7d97b-a46b-482b-b513-4c3ef1fa7dbf,28,31,1.107143,2
2c383b80-2256-4ece-81d4-c81290a10a14,27,39,1.444444,6
5ac34c91-a3b4-4a11-a940-a4babf02057f,35,47,1.342857,2
49fcf025-22ca-4e4b-85b8-278b855e63b7,22,26,1.181818,3
bb86048e-c4fd-4bc1-8fda-a4fb5b391a14,47,53,1.127660,3
9a750eec-46c2-4720-b481-a0d6f03af47b,29,33,1.137931,2
e00872da-35ca-4faf-98f0-3eacdc654102,11,15,1.363636,4
71c102e5-a364-450a-b233-6c5e2976b9d1,22,28,1.272727,3
0feedf09-ee01-43ea-9489-1b58a00ba227,40,45,1.125000,3
6ac4be27-6951-4110-953b-42994ca04dfc,20,25,1.250000,3
6c1f708c-f3e9-4d9e-a0ae-311ba42c139a,32,40,1.250000,3
b811ccd0-a9ef-40ef-8326-d8efbf85e50f,35,48,1.371429,3
2657b615-04b0-4c11-8343-1245c9c07676,46,52,1.130435,2
af421bd7-84d7-4b0b-b621-c9b4091d1b06,12,17,1.416667,3
324e32c2-c915-4c0a-a5c3-7f7b6a758fd3,4,5,1.250000,2
92ef2ca8-10c2-4b32-a999-3af1b85502c7,8,10,1.250000,2
628a06f1-ca1e-4e6e-9b38-5e23da554b53,45,51,1.133333,2
5f118823-51ee-47bb-859f-1316523af0ed,37,49,1.324324,3
a3f79161-ce4f-4ec0-9c53-67b5d89375d4,1,2,2.000000,2
6da10582-c8f5-41e2-9d10-63b7b66ea527,2,3,1.500000,2
3284e414-8b55-431b-996f-5e5cf9e96ed9,34,39,1.147059,3
47bad423-2418-4435-83c8-08ba94003d14,27,32,1.185185,3
68e7ae29-15ff-402c-adc1-76d5a932c984,43,50,1.162791,2
686a875f-c72b-4803-b21d-8a7401fe132a,14,21,1.500000,3
42a98cef-7642-414d-a916-237ceb0abbf6,10,16,1.600000,5
bdc5938a-77a5-4148-8281-898e87238451,34,38,1.117647,2
ac7c0dae-6fe3-48e3-97b7-ab62571a0eb1,22,30,1.363636,3
be62454c-9208-4099-9ed2-02aa2de09509,1,1,1.000000,1
e7dddb75-ce7a-4c4a-a047-cd3c7c12c4f7,21,28,1.333333,3
f2d0957c-12af-426d-8d09-fdbbb4e0de0b,21,26,1.238095,5
b8f4eb79-baaf-442b-ada2-5bcd5cf89df4,39,52,1.333333,3
06b6d1b3-dda3-4743-96f5-a45079ab6996,1,3,3.000000,3
5c2dcee3-4c6f-4ac5-bebf-393949ab845c,21,26,1.238095,2
ec0f4dc7-2248-4e94-bafe-6df366348cb8,3,4,1.333333,2
59751180-e355-4bfc-b5a2-5c571dfc6efa,26,32,1.230769,3
70aa3c86-1745-40da-9072-13ac3ed78efd,25,31,1.240000,3
a570d9cd-f8c7-4a04-acd2-701cc226b960,28,31,1.107143,3
78d36156-f985-41f2-b808-8ffa7a87f4b9,31,37,1.193548,3
68942969-0475-4a26-931b-d1d8043a659c,32,41,1.281250,3
2f843830-e489-45c6-a140-48ef168f7d3e,30,38,1.266667,2
7e2037cd-4943-4935-a393-43fc5c390c87,27,32,1.185185,2
17b06456-e7d7-47f8-adb8-f259fb98dcc9,1,1,1.000000,1
a5f01fef-bcda-49d6-b726-2fe0d7a4e928,5,8,1.600000,3
505a6b31-fc4e-421d-9a42-4882535d0da2,7,13,1.857143,5
5b42ea58-d3a6-491a-98ea-d6cb61b21abe,15,20,1.333333,3
ad30762b-ff39-441d-a0f7-d388fcb65c5d,14,18,1.285714,2
e0d3387e-cac6-41e5-b9f5-963818301cf3,3,5,1.666667,2
2bef0281-b2d9-41ac-967c-45835e5ba8c0,31,53,1.709677,5
618b27ad-6280-4709-8245-2f34c8e13f53,36,41,1.138889,3
18812d7d-3e1e-4084-ad30-79ac968a2fa5,28,30,1.071429,2
